[      94ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:5175/node_modules/.vite/deps/react-dom_client.js?v=94da8af1:20102
[     164ms] [LOG] CFPen preview ready @ about:srcdoc:86
[ 1006317ms] [LOG] [vite] server connection lost. Polling for restart... @ http://127.0.0.1:5175/@vite/client:963
[ 1182395ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1186819ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1192326ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1194670ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1197113ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1201626ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1204197ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1208243ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1213926ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1219499ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1224910ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1230267ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1235201ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1237603ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1240844ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1243127ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1246268ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1247271ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1248275ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1249279ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1250282ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1251286ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1252292ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1253299ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1254318ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1255336ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1256384ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1257461ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1258765ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1260393ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1261770ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1263470ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1266824ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
[ 1272821ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:5175/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@vite/client:1034
